movie_id,title,cast,crew
11906,Suspiria,"['Jessica Harper', 'Stefania Casini', 'Flavio Bucci', 'Miguel Bosé', 'Barbara Magnolfi', 'Susanna Javicoli', 'Eva Axén', 'Rudolf Schündler', 'Udo Kier', 'Alida Valli']","['Director: Dario Argento', 'Producer: Claudio Argento']"
1400224,Boy Kaldag,"['Benz Sangalang', 'Dyessa Garcia', 'Aiko Garcia', 'Azi Acosta', 'Angeli Khang', 'Rubi Rubi', 'Salome Salvi', 'Ayanna Misola', 'Mark Dionisio', 'Richard Solano']",['Director: Roman Perez Jr.']
157433,Pet Sematary,"['Jason Clarke', 'Amy Seimetz', 'John Lithgow', 'Jeté Laurence', 'Hugo Lavoie', 'Lucas Lavoie', 'Obssa Ahmed', 'Sonia Maria Chirila', 'Alyssa Brooke Levine', 'Maria Herrera']","['Director: Dennis Widmyer', 'Director: Kevin Kölsch', 'Producer: Lorenzo di Bonaventura', 'Producer: Steven Schneider', 'Producer: Mark Vahradian']"
284536,The Gambler,"['Mark Wahlberg', 'John Goodman', 'Brie Larson', 'Michael Kenneth Williams', 'George Kennedy', 'Jessica Lange', 'Richard Schiff', 'Andre Braugher', 'Emory Cohen', 'Domenick Lombardozzi']","['Director: Rupert Wyatt', 'Producer: David Winkler', 'Producer: Mark Wahlberg', 'Producer: Irwin Winkler', 'Producer: Robert Chartoff', 'Producer: Stephen Levinson']"
590995,The Craft: Legacy,"['Cailee Spaeny', 'Lovie Simone', 'Gideon Adlon', 'Zoey Luna', 'Michelle Monaghan', 'David Duchovny', 'Nicholas Galitzine', 'Julian Grey', 'Charles Vandervaart', 'Hannah Gordon']","['Director: Zoe Lister-Jones', 'Producer: Lucy Fisher', 'Producer: Douglas Wick', 'Producer: Jason Blum', 'Writer: Zoe Lister-Jones']"
1151963,Guna Guna Istri Muda,"['Carissa Perusset', 'Lulu Tobing', 'Anjasmara', 'Happy Salma', 'Donny Damara', 'Abidzar Al-Ghifari', 'Elang El Gibran', 'Fergie Brittany', 'Ara Ajisiwi', 'TJ']","['Producer: Frederica', 'Director: Razka Robby Ertanto', 'Writer: Alim Sudio', 'Writer: Titien Wattimena', 'Writer: Ackyl Anwari']"
1298238,Untamed Royals,"['Juan Pablo Fuentes', 'Fernando Cattori', 'Ximena Lamadrid', 'Renata Manterola', 'Alfonso Herrera', 'Caraly Sánchez', 'Ana Wills', 'Itzel Quintal', 'Allan Urbano', 'Yuriria del Valle']","['Director: Humberto Hinojosa', 'Producer: Pablo García Gatterer', 'Producer: Rodrigo Trujillo']"
3683,Flags of Our Fathers,"['Ryan Phillippe', 'Jesse Bradford', 'Adam Beach', 'John Benjamin Hickey', 'John Slattery', 'Barry Pepper', 'Jamie Bell', 'Paul Walker', 'Robert Patrick', 'Neal McDonough']","['Director: Clint Eastwood', 'Producer: Steven Spielberg', 'Producer: Clint Eastwood', 'Producer: Robert Lorenz']"
1268749,Kromoleo: The Haunting,"['Safira Ratu Sofya', 'Tio Pakusadewo', 'Abun Sungkar', 'Rukman Rosadi', 'Cornelio Sunny', 'Totos Rasiti', 'Aline Fauziah', 'Dayu Wijanto', 'Vonny Anggraini', 'Ilham Setyadi']","['Director: Anggy Umbara', 'Producer: Hartawan Triguna']"
58553,Porno,"['Zbigniew Rola', 'Agnieszka Wójcik', 'Iwona Katarzyna Pawlak', 'Ewa Grabarczyk', 'Małgorzata Gajewska', 'Małgorzata Chojnacka', 'Maria Probosz', 'Grażyna Strachota', 'Katarzyna Figura', 'Maja Barełkowska']","['Director: Marek Koterski', 'Writer: Marek Koterski']"
431,Cube,"['Nicole de Boer', 'Nicky Guadagni', 'Maurice Dean Wint', 'David Hewlett', 'Andrew Miller', 'Wayne Robson', 'Julian Richings']","['Director: Vincenzo Natali', 'Producer: Mehra Meh', 'Producer: Betty Orr']"
314,Catwoman,"['Halle Berry', 'Benjamin Bratt', 'Sharon Stone', 'Lambert Wilson', 'Frances Conroy', 'Alex Borstein', 'Michael Massee', 'Byron Mann', 'Kim Smith', 'Christopher Heyerdahl']","['Director: Pitof', 'Producer: Denise Di Novi', 'Producer: Edward McDonnell']"
1078374,Suffocating Love,"['Austin Lin', 'Chloe Xiang', 'Nikki Hsieh', 'DaYuan Lin', 'YELLOW', 'McFly Wu', 'Tzu-Chi Pei', 'Chu Ou', 'Chien Tsung-Fu', 'Bruce Chiu']","['Director: Liao Ming-Yi', 'Writer: Liao Ming-Yi']"
413846,1992,"['Tyrese Gibson', 'Scott Eastwood', 'Ray Liotta', 'Dylan Arnold', 'Oleg Taktarov', 'John West Jr', 'Clé Bennett', 'Michael Beasley', 'Ori Pfeffer', 'Tosin Morohunfola']","['Director: Ariel Vromen', 'Producer: Adam Kolbrenner', 'Producer: Ariel Vromen', 'Producer: Sascha Penn', 'Producer: Maurice Fadida', 'Producer: Andreas Rommel']"
1883,Malcolm X,"['Denzel Washington', 'Angela Bassett', 'Albert Hall', 'Al Freeman Jr.', 'Delroy Lindo', 'Spike Lee', 'Theresa Randle', 'Kate Vernon', 'Lonette McKee', 'Tommy Hollis']","['Director: Spike Lee', 'Producer: Marvin Worth', 'Producer: Spike Lee']"
19,Metropolis,"['Gustav Fröhlich', 'Brigitte Helm', 'Alfred Abel', 'Rudolf Klein-Rogge', 'Theodor Loos', 'Fritz Rasp', 'Erwin Biswanger', 'Heinrich George', 'Fritz Alberti', 'Grete Berger']","['Producer: Erich Pommer', 'Director: Fritz Lang']"
10802,Showgirls,"['Elizabeth Berkley', 'Kyle MacLachlan', 'Gina Gershon', 'Glenn Plummer', 'Robert Davi', 'Alan Rachins', 'Gina Ravera', 'Lin Tucci', 'Greg Travis', 'Al Ruscio']","['Producer: Alan Marshall', 'Director: Paul Verhoeven', 'Producer: Charles Evans', 'Writer: Joe Eszterhas']"
253412,Everest,"['Jason Clarke', 'Josh Brolin', 'Jake Gyllenhaal', 'Elizabeth Debicki', 'Keira Knightley', 'Sam Worthington', 'Robin Wright', 'Emily Watson', 'John Hawkes', 'Michael Kelly']","['Director: Baltasar Kormákur', 'Producer: Evan Hayes', 'Producer: Nicky Kentish Barnes', 'Producer: Tim Bevan', 'Producer: Eric Fellner', 'Producer: Tyler Thompson', 'Producer: Brian Oliver', 'Producer: Baltasar Kormákur']"
297090,The Torture Club,"['Noriko Kijima', 'Haruna Yoshizumi', 'Yuki Mamiya', 'Mika Yano', 'Nami Motoyama', 'Kanako Mochida', 'Reiko Hayama', 'Shungicu Uchida', 'Rei Mizuna']","['Producer: Yuichi Shibahara', 'Producer: Ujikatsu Omori', 'Producer: Hidehisa Chiwata', 'Director: Kōta Yoshida']"
15969,The Return of Jafar,"['Scott Weinger', 'Linda Larkin', 'Jonathan Freeman', 'Gilbert Gottfried', 'Dan Castellaneta', 'Frank Welker', 'Val Bettin', 'Jason Alexander', 'B.J. Ward', 'Jim Cummings']","['Director: Toby Shelton', 'Director: Alan Zaslove', 'Director: Tad Stones', 'Producer: Tad Stones', 'Producer: Alan Zaslove', 'Writer: Mirith J. Colao', 'Writer: Bill Motz', 'Writer: Steve Roberts', 'Writer: Dev Ross', 'Writer: Bob Roth']"
360814,Dangal,"['Aamir Khan', 'Fatima Sana Shaikh', 'Sanya Malhotra', 'Zaira Wasim', 'Suhani Bhatnagar', 'Aparshakti Khurana', 'Girish Kulkarni', 'Sakshi Tanwar', 'Vivan Bhatena', 'Ritwik Sahore']","['Director: Nitesh Tiwari', 'Producer: Aamir Khan', 'Producer: Siddharth Roy Kapur', 'Producer: Kiran Rao']"
381719,Peter Rabbit,"['James Corden', 'Rose Byrne', 'Domhnall Gleeson', 'Margot Robbie', 'Elizabeth Debicki', 'Daisy Ridley', 'Colin Moody', 'Sam Neill', 'Marianne Jean-Baptiste', 'Felix Williamson']","['Writer: Will Gluck', 'Director: Will Gluck', 'Producer: Will Gluck', 'Writer: Rob Lieber', 'Producer: Zareh Nalbandian']"
1202565,No salgas,"['Sofía Romano', 'Alan Yair', 'Galo Grasset', 'Melanie Castellini', 'Bruno Giacobbe', 'Adriano Sessa', 'Thiago Ventura', 'Nancy Mejide', 'Mónica Gonzaga', 'Juan Cruz Grasset']","['Director: Gonzalo Giménez', 'Producer: Adriano Sessa']"
